,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
143,Bangalore to Goa,IntrCity SmartBus,AC Sleeper (2+1),20:30,10:40,14h 10m,INR 912,22 Seats available,4.3
144,Bangalore to Goa,Streamline tours and travels,A/C Sleeper (2+1),22:20,11:15,12h 55m,INR 999,19 Seats available,3.8
145,Bangalore to Goa,Streamline tours and travels,A/C Sleeper (2+1),21:15,10:15,13h 00m,INR 1000,1 Seat available,4.1
146,Bangalore to Goa,Shanta Travels,NON A/C Sleeper (2+1),19:30,08:15,12h 45m,INR 810,15 Seats available,4.1
147,Bangalore to Goa,Sea Bird Tourist,NON A/C Sleeper (2+1),20:30,10:00,13h 30m,INR 700,22 Seats available,3.5
148,Bangalore to Goa,Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,07:00,13h 00m,INR 700,18 Seats available,3.3
149,Bangalore to Goa,Anand Travels,NON A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 660,16 Seats available,3.0
150,Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),20:30,07:45,11h 15m,900,11 Seats available,3.5
151,Bangalore to Goa,Sea Bird Tourist,A/C Sleeper (2+1),19:00,08:00,13h 00m,INR 900,14 Seats available,2.8
152,Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),20:30,08:45,12h 15m,INR 950,10 Seats available,3.8
153,Bangalore to Goa,SRS Travels,NON AC Seater / Sleeper 2+1,20:00,09:30,13h 30m,647,13 Seats available,2.3
154,Bangalore to Goa,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,12:30,13h 00m,INR 700,36 Seats available,3.4
155,Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),20:30,08:15,11h 45m,INR 950,12 Seats available,4.0
156,Bangalore to Goa,SRS Travels,NON AC Seater / Sleeper 2+1,20:00,08:30,12h 30m,647,13 Seats available,2.4
